STA,Station.Name,Latitude,Longitude,County.Name,Agency.Name,Sensor.No,Sensor,Description,Units
CSE,COLLINSVILLE ON SACRAMENTO RIVER,38.074,-121.8501,SOLANO,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
CSE,COLLINSVILLE ON SACRAMENTO RIVER,38.074,-121.8501,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
CYG,CYGNUS-CORDELIA SLOUGH,38.1527,-122.0908,SOLANO,CA Dept of Water Resources/Div of Environmental Services,1,RIV STG,RIVER STAGE,FEET
CYG,CYGNUS-CORDELIA SLOUGH,38.1527,-122.0908,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
CYG,CYGNUS-CORDELIA SLOUGH,38.1527,-122.0908,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
DBD,DISCOVERY BAY AT DISCOVERY BAY BLVD,37.8928,-121.6025,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
DBI,DISCOVERY BAY AT INDIAN SLOUGH,37.91765213,-121.5867233,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,37.815,-121.425,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,37.815,-121.425,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,37.815,-121.425,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,28,CHLORPH,CHLOROPHYLL,ug/L
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,37.815,-121.425,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,37.815,-121.425,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,62,PH VAL,"WATER, PH VALUE",PH
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,37.815,-121.425,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,38.245,-121.505,SACRAMENTO,US Geological Survey,1,RIV STG,RIVER STAGE,FEET
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,38.245,-121.505,SACRAMENTO,US Geological Survey,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,38.245,-121.505,SACRAMENTO,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,38.245,-121.505,SACRAMENTO,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,38.245,-121.505,SACRAMENTO,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,38.245,-121.505,SACRAMENTO,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,38.013,-121.671,CONTRA COSTA,US Geological Survey,1,RIV STG,RIVER STAGE,FEET
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,38.013,-121.671,CONTRA COSTA,US Geological Survey,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,38.013,-121.671,CONTRA COSTA,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,38.013,-121.671,CONTRA COSTA,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,38.013,-121.671,CONTRA COSTA,US Geological Survey,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,38.013,-121.671,CONTRA COSTA,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,38.013,-121.671,CONTRA COSTA,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,38.25611,-121.66667,YOLO,US Geological Survey,1,RIV STG,RIVER STAGE,FEET
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,38.25611,-121.66667,YOLO,US Geological Survey,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,38.25611,-121.66667,YOLO,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,38.25611,-121.66667,YOLO,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,38.25611,-121.66667,YOLO,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,38.25611,-121.66667,YOLO,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
ECD,EAST CONTRA COUNTY ID PP#1,37.917863,-121.625999,CONTRA COSTA,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
EMM,EMMATON (USBR),38.084272,-121.738924,SACRAMENTO,US Bureau of Reclamation,25,TEMP W,"TEMPERATURE, WATER",DEG F
EMM,EMMATON (USBR),38.084272,-121.738924,SACRAMENTO,US Bureau of Reclamation,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
FAL,FALSE RIVER NEAR OAKLEY,38.0558,-121.6669,CONTRA COSTA,USGS/DWR,1,RIV STG,RIVER STAGE,FEET
FAL,FALSE RIVER NEAR OAKLEY,38.0558,-121.6669,CONTRA COSTA,USGS/DWR,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
FAL,FALSE RIVER NEAR OAKLEY,38.0558,-121.6669,CONTRA COSTA,USGS/DWR,21,VLOCITY,"WATER, VELOCITY",FT/SEC
FAL,FALSE RIVER NEAR OAKLEY,38.0558,-121.6669,CONTRA COSTA,USGS/DWR,25,TEMP W,"TEMPERATURE, WATER",DEG F
FAL,FALSE RIVER NEAR OAKLEY,38.0558,-121.6669,CONTRA COSTA,USGS/DWR,28,CHLORPH,CHLOROPHYLL,ug/L
FAL,FALSE RIVER NEAR OAKLEY,38.0558,-121.6669,CONTRA COSTA,USGS/DWR,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
FAL,FALSE RIVER NEAR OAKLEY,38.0558,-121.6669,CONTRA COSTA,USGS/DWR,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
FAL,FALSE RIVER NEAR OAKLEY,38.0558,-121.6669,CONTRA COSTA,USGS/DWR,221,TURB WF,"WATER, TURBIDITY FNU",FNU
FCT,FISHERMANS CUT,38.067822,-121.648838,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
FCT,FISHERMANS CUT,38.067822,-121.648838,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
FCT,FISHERMANS CUT,38.067822,-121.648838,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,21,VLOCITY,"WATER, VELOCITY",FT/SEC
FCT,FISHERMANS CUT,38.067822,-121.648838,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
FCT,FISHERMANS CUT,38.067822,-121.648838,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
FCT,FISHERMANS CUT,38.067822,-121.648838,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
FCT,FISHERMANS CUT,38.067822,-121.648838,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,221,TURB WF,"WATER, TURBIDITY FNU",FNU
FLT,GOODYEAR SLOUGH OUTFALL @ NAVAL FLEET,38.08037934,-122.1020479,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
FLT,GOODYEAR SLOUGH OUTFALL @ NAVAL FLEET,38.08037934,-122.1020479,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
FRK,FRANK'S TRACT MID TRACT,38.046417,-121.5981,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
FRK,FRANK'S TRACT MID TRACT,38.046417,-121.5981,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
FRK,FRANK'S TRACT MID TRACT,38.046417,-121.5981,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
FRK,FRANK'S TRACT MID TRACT,38.046417,-121.5981,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
FRK,FRANK'S TRACT MID TRACT,38.046417,-121.5981,CONTRA COSTA,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
FRP,FARRAR PARK,38.011698,-121.639129,SAN JOAQUIN,US Bureau of Reclamation,25,TEMP W,"TEMPERATURE, WATER",DEG F
FRP,FARRAR PARK,38.011698,-121.639129,SAN JOAQUIN,US Bureau of Reclamation,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GCT,GRANTLINE CANAL AT TRACY RD BRIDGE,37.82014465,-121.4498596,SAN JOAQUIN,CA Dept of Water Resources,1,RIV STG,RIVER STAGE,FEET
GCT,GRANTLINE CANAL AT TRACY RD BRIDGE,37.82014465,-121.4498596,SAN JOAQUIN,CA Dept of Water Resources,25,TEMP W,"TEMPERATURE, WATER",DEG F
GCT,GRANTLINE CANAL AT TRACY RD BRIDGE,37.82014465,-121.4498596,SAN JOAQUIN,CA Dept of Water Resources,28,CHLORPH,CHLOROPHYLL,ug/L
GCT,GRANTLINE CANAL AT TRACY RD BRIDGE,37.82014465,-121.4498596,SAN JOAQUIN,CA Dept of Water Resources,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
GCT,GRANTLINE CANAL AT TRACY RD BRIDGE,37.82014465,-121.4498596,SAN JOAQUIN,CA Dept of Water Resources,62,PH VAL,"WATER, PH VALUE",PH
GCT,GRANTLINE CANAL AT TRACY RD BRIDGE,37.82014465,-121.4498596,SAN JOAQUIN,CA Dept of Water Resources,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,38.2389,-121.5234,SACRAMENTO,US Geological Survey,1,RIV STG,RIVER STAGE,FEET
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,38.2389,-121.5234,SACRAMENTO,US Geological Survey,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,38.2389,-121.5234,SACRAMENTO,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,38.2389,-121.5234,SACRAMENTO,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,38.2389,-121.5234,SACRAMENTO,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,38.2389,-121.5234,SACRAMENTO,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
GLC,GRANTLINE CANAL (USGS),37.8196,-121.5485,SAN JOAQUIN,USGS/DWR,1,RIV STG,RIVER STAGE,FEET
GLC,GRANTLINE CANAL (USGS),37.8196,-121.5485,SAN JOAQUIN,USGS/DWR,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
GLC,GRANTLINE CANAL (USGS),37.8196,-121.5485,SAN JOAQUIN,USGS/DWR,21,VLOCITY,"WATER, VELOCITY",FT/SEC
GLC,GRANTLINE CANAL (USGS),37.8196,-121.5485,SAN JOAQUIN,USGS/DWR,25,TEMP W,"TEMPERATURE, WATER",DEG F
GLC,GRANTLINE CANAL (USGS),37.8196,-121.5485,SAN JOAQUIN,USGS/DWR,28,CHLORPH,CHLOROPHYLL,ug/L
GLC,GRANTLINE CANAL (USGS),37.8196,-121.5485,SAN JOAQUIN,USGS/DWR,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
GLC,GRANTLINE CANAL (USGS),37.8196,-121.5485,SAN JOAQUIN,USGS/DWR,62,PH VAL,"WATER, PH VALUE",PH
GLC,GRANTLINE CANAL (USGS),37.8196,-121.5485,SAN JOAQUIN,USGS/DWR,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GLC,GRANTLINE CANAL (USGS),37.8196,-121.5485,SAN JOAQUIN,USGS/DWR,221,TURB WF,"WATER, TURBIDITY FNU",FNU
GLE,GRANT LINE CANAL EAST,37.820258,-121.4348562,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
GLE,GRANT LINE CANAL EAST,37.820258,-121.4348562,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
GLE,GRANT LINE CANAL EAST,37.820258,-121.4348562,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,21,VLOCITY,"WATER, VELOCITY",FT/SEC
GLE,GRANT LINE CANAL EAST,37.820258,-121.4348562,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,25,TEMP W,"TEMPERATURE, WATER",DEG F
GLE,GRANT LINE CANAL EAST,37.820258,-121.4348562,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,28,CHLORPH,CHLOROPHYLL,ug/L
GLE,GRANT LINE CANAL EAST,37.820258,-121.4348562,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
GLE,GRANT LINE CANAL EAST,37.820258,-121.4348562,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,62,PH VAL,"WATER, PH VALUE",PH
GLE,GRANT LINE CANAL EAST,37.820258,-121.4348562,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GLE,GRANT LINE CANAL EAST,37.820258,-121.4348562,SAN JOAQUIN,CA Dept of Water Resources/North Central Region Office,221,TURB WF,"WATER, TURBIDITY FNU",FNU
GOD,GODFATHER II ON SUISUN SLOUGH,38.1238,-122.0812,SOLANO,CA Dept of Water Resources/Div of Environmental Services,25,TEMP W,"TEMPERATURE, WATER",DEG F
GOD,GODFATHER II ON SUISUN SLOUGH,38.1238,-122.0812,SOLANO,CA Dept of Water Resources/Div of Environmental Services,28,CHLORPH,CHLOROPHYLL,ug/L
GOD,GODFATHER II ON SUISUN SLOUGH,38.1238,-122.0812,SOLANO,CA Dept of Water Resources/Div of Environmental Services,61,DIS OXY,"WATER, DISSOLVED OXYGEN",MG/L
GOD,GODFATHER II ON SUISUN SLOUGH,38.1238,-122.0812,SOLANO,CA Dept of Water Resources/Div of Environmental Services,62,PH VAL,"WATER, PH VALUE",PH
GOD,GODFATHER II ON SUISUN SLOUGH,38.1238,-122.0812,SOLANO,CA Dept of Water Resources/Div of Environmental Services,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GSM,GEORGIANA SLOUGH AT MOKELUMNE R,38.129533,-121.582974,SACRAMENTO,CA Dept of Water Resources/North Central Region Office,1,RIV STG,RIVER STAGE,FEET
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,38.237,-121.518,SACRAMENTO,US Geological Survey,1,RIV STG,RIVER STAGE,FEET
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,38.237,-121.518,SACRAMENTO,US Geological Survey,20,FLOW,"FLOW, RIVER DISCHARGE",CFS
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,38.237,-121.518,SACRAMENTO,US Geological Survey,21,VLOCITY,"WATER, VELOCITY",FT/SEC
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,38.237,-121.518,SACRAMENTO,US Geological Survey,25,TEMP W,"TEMPERATURE, WATER",DEG F
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,38.237,-121.518,SACRAMENTO,US Geological Survey,100,EL COND,ELECTRICAL CONDUCTIVTY MICRO S,uS/cm
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,38.237,-121.518,SACRAMENTO,US Geological Survey,221,TURB WF,"WATER, TURBIDITY FNU",FNU
